,FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016",FIPS,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,MEDHHINC15,POVRATE15,CHILDPOVRATE15
0,1001, Alabama,Autauga ,"54,571","55,255","55,027","54,792","54,977","55,035","55,416",1001,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,11.4,13.0,31.5,34.1,56580.0,12.7,18.8
1,1003, Alabama,Baldwin ,"182,265","186,653","190,403","195,147","199,745","203,690","208,563",1003,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,9.8,10.4,26.2,27.4,52387.0,12.9,19.6
2,1005, Alabama,Barbour ,"27,457","27,326","27,132","26,938","26,763","26,270","25,965",1005,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,13.6,18.4,37.6,44.4,31433.0,32.0,45.2
3,1007, Alabama,Bibb ,"22,915","22,736","22,645","22,501","22,511","22,561","22,643",1007,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,11.1,14.8,32.3,40.3,40767.0,22.2,29.3
4,1009, Alabama,Blount ,"57,322","57,707","57,772","57,746","57,621","57,676","57,704",1009,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,11.4,14.1,31.9,34.6,50487.0,14.7,22.2
5,1011, Alabama,Bullock ,"10,914","10,722","10,654","10,576","10,712","10,455","10,362",1011,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,14.9,19.6,37.8,43.0,28251.0,39.6,51.2
6,1013, Alabama,Butler ,"20,947","20,848","20,665","20,330","20,283","20,126","19,998",1013,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,15.1,17.7,36.8,36.3,33868.0,25.8,36.0
7,1015, Alabama,Calhoun ,"118,572","117,736","117,208","116,475","115,837","115,285","114,611",1015,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,14.5,14.9,33.5,32.2,42091.0,20.0,30.7
8,1017, Alabama,Chambers ,"34,215","34,006","34,084","34,123","33,996","34,043","33,843",1017,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,16.1,16.4,35.5,39.7,35560.0,22.4,34.4
9,1019, Alabama,Cherokee ,"25,989","26,073","26,017","26,074","25,944","25,726","25,725",1019,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,17.9,17.6,-0.3,8.5,9.3,13.6,13.3,31.5,33.6,39144.0,19.4,30.2
