FIPS,State,County,FFRPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,MEDHHINC15,POVRATE15
1001,AL,Autauga,0.649878148,77.24615638,17.58259882,2.400542413,0.855765883,13,34.1,56580,12.7
1003,AL,Baldwin,0.659633903,83.50478699,9.308424547,4.384824294,0.735193263,10.4,27.4,52387,12.9
1005,AL,Barbour,0.818239298,46.75310485,46.69118986,5.051535128,0.389700259,18.4,44.4,31433,32
1007,AL,Bibb,0.222162979,75.02072878,21.9245036,1.771765219,0.096006982,14.8,40.3,40767,22.2
1009,AL,Blount,0.363831667,88.88733819,1.263040368,8.070199923,0.200621053,14.1,34.6,50487,14.7
1011,AL,Bullock,0.2787068,21.9168041,69.97434488,7.119296317,0.18325087,19.6,43,28251,39.6
1013,AL,Butler,0.837603469,54.06024729,43.1899556,0.911825082,0.830667876,17.7,36.3,33868,25.8
1015,AL,Calhoun,0.888574485,73.61350066,20.3901427,3.283237189,0.699996627,14.9,32.2,42091,20
1017,AL,Chambers,0.763000352,58.14116616,38.59710653,1.566564372,0.485167324,16.4,39.7,35560,22.4
1019,AL,Cherokee,0.576103238,92.07356959,4.640424795,1.231290161,0.188541306,13.3,33.6,39144,19.4
1021,AL,Chilton,0.455259384,81.10120752,9.557088193,7.836308228,0.286414774,13.3,35.9,42767,20.2
1023,AL,Choctaw,0.45034902,55.55956418,43.22101162,0.526733531,0.086586334,18.1,40.8,35089,24.4
1025,AL,Clarke,1.042293045,53.97359966,43.66507955,1.049045794,0.286455309,16.3,38.2,37317,22.2
1027,AL,Clay,0.295159386,80.2899799,14.69997129,2.863910422,0.165087568,14.6,37.3,38908,18.4
1029,AL,Cleburne,0.530503979,93.21399947,3.299492386,2.050494256,0.153620091,12.6,30,42136,18.9
1031,AL,Coffee,0.667858335,72.34323697,16.53119244,6.366621286,1.259309682,15.9,33.7,46858,16.2
1033,AL,Colbert,0.953376235,79.61710884,15.98809436,2.008157566,0.411552877,18.7,37.5,41171,18.1
1035,AL,Conecuh,0.552486188,51.13395827,46.28061687,1.21711521,0.128515271,17.4,36.4,29981,28.3
